               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040881,            0.045624,           0.0070872,              0.9073,             0.82907,             0.90894,             0.63453,            0.034846,            0.024264,           0.0037409,            0.006535,            0.006535,            0.006535
                  37,            0.039851,            0.045293,           0.0070338,             0.88883,             0.83839,             0.90777,             0.61829,            0.035292,            0.024021,           0.0037927,            0.006436,            0.006436,            0.006436
                  38,            0.039085,             0.04516,           0.0064544,             0.89095,             0.84736,             0.91567,             0.63616,            0.033817,            0.023884,           0.0038325,            0.006337,            0.006337,            0.006337
                  39,            0.039883,            0.044089,           0.0064766,             0.89545,              0.8527,             0.91906,             0.63778,            0.033755,            0.024281,           0.0037879,            0.006238,            0.006238,            0.006238
                  40,            0.037704,            0.043571,           0.0074144,             0.87818,             0.84983,             0.90697,             0.63097,            0.034407,            0.024215,           0.0036823,            0.006139,            0.006139,            0.006139
                  41,            0.039162,            0.042046,           0.0071259,             0.88335,             0.86231,              0.9159,             0.65379,            0.033314,            0.023858,            0.003523,             0.00604,             0.00604,             0.00604
                  42,            0.038511,            0.042618,           0.0066377,             0.87092,             0.87977,             0.91905,             0.63308,            0.033224,            0.024145,           0.0035159,            0.005941,            0.005941,            0.005941
                  43,             0.03681,            0.043864,           0.0063512,             0.88536,             0.86791,             0.92193,             0.64232,            0.033132,            0.023669,           0.0034404,            0.005842,            0.005842,            0.005842
                  44,            0.038998,            0.044083,           0.0070295,             0.90832,             0.84355,             0.90808,             0.64678,            0.032801,             0.02336,           0.0034511,            0.005743,            0.005743,            0.005743
                  45,             0.03802,            0.037209,           0.0067522,             0.90258,             0.86655,             0.92809,             0.65414,            0.032333,            0.023399,           0.0035033,            0.005644,            0.005644,            0.005644
                  46,              0.0375,            0.041772,           0.0059771,             0.89157,             0.86649,             0.92416,              0.6609,            0.032693,             0.02311,           0.0034813,            0.005545,            0.005545,            0.005545
                  47,            0.035284,            0.040711,           0.0062748,             0.87169,             0.88028,             0.92582,             0.65547,            0.032144,            0.022846,            0.003472,            0.005446,            0.005446,            0.005446
                  48,            0.037231,            0.038839,           0.0059909,              0.8753,             0.88326,             0.92315,             0.66114,            0.032742,            0.022791,           0.0034545,            0.005347,            0.005347,            0.005347
                  49,             0.03576,            0.039221,           0.0060367,             0.89423,             0.87195,             0.92801,             0.66962,            0.032323,            0.022511,           0.0034202,            0.005248,            0.005248,            0.005248
                  50,            0.037259,            0.037835,           0.0066717,             0.91681,             0.85466,             0.92867,             0.66931,            0.032484,            0.022601,            0.003436,            0.005149,            0.005149,            0.005149
                  51,            0.037686,            0.043306,           0.0066601,             0.91424,             0.86278,             0.93279,             0.67903,            0.031213,            0.022565,           0.0033911,             0.00505,             0.00505,             0.00505
                  52,            0.036702,            0.040707,           0.0058958,             0.90577,             0.88233,             0.93514,              0.6921,            0.031288,            0.022249,           0.0033446,            0.004951,            0.004951,            0.004951
                  53,             0.03537,            0.037854,           0.0063556,             0.92939,             0.86473,             0.93495,             0.68783,            0.030796,            0.021926,           0.0033462,            0.004852,            0.004852,            0.004852
                  54,            0.036848,            0.036807,           0.0075758,             0.89583,             0.87088,             0.92576,             0.67795,            0.030354,            0.021885,           0.0033196,            0.004753,            0.004753,            0.004753
                  55,             0.03624,            0.039597,           0.0065655,             0.90712,             0.86607,             0.92835,             0.66607,            0.031049,            0.022159,           0.0032627,            0.004654,            0.004654,            0.004654
                  56,            0.035386,            0.039511,           0.0064057,             0.91664,             0.85876,             0.92793,             0.67727,             0.03073,             0.02203,           0.0031898,            0.004555,            0.004555,            0.004555
                  57,            0.035744,            0.035143,           0.0066784,              0.8883,             0.88624,             0.93509,             0.67521,            0.031007,            0.021947,           0.0031768,            0.004456,            0.004456,            0.004456
                  58,              0.0348,            0.043278,           0.0068631,             0.86476,             0.89854,             0.92839,             0.70151,            0.029528,            0.021503,           0.0031299,            0.004357,            0.004357,            0.004357
                  59,            0.034862,            0.036094,           0.0055049,              0.9202,             0.87601,             0.94393,             0.69307,            0.029546,            0.021394,           0.0030652,            0.004258,            0.004258,            0.004258
                  60,            0.034844,            0.037441,           0.0061592,             0.91256,             0.87503,              0.9425,             0.69576,            0.029867,            0.021294,           0.0029963,            0.004159,            0.004159,            0.004159
                  61,            0.034446,             0.04058,           0.0057298,             0.92329,             0.87452,             0.94529,             0.69589,            0.029237,            0.021165,           0.0029548,             0.00406,             0.00406,             0.00406
                  62,            0.036077,             0.03787,           0.0065578,             0.93675,             0.87394,             0.95166,             0.71017,            0.029192,            0.021025,           0.0029266,            0.003961,            0.003961,            0.003961
                  63,            0.033858,             0.03967,           0.0052644,             0.92235,             0.87647,             0.94932,             0.71599,            0.029161,            0.020855,           0.0029178,            0.003862,            0.003862,            0.003862
                  64,            0.035164,            0.038231,           0.0050817,              0.9361,             0.87353,             0.95126,             0.71542,            0.028708,             0.02068,           0.0029207,            0.003763,            0.003763,            0.003763
                  65,            0.033874,            0.040664,           0.0056476,             0.92186,             0.87573,             0.94565,              0.7285,            0.028486,             0.02071,           0.0029081,            0.003664,            0.003664,            0.003664
                  66,            0.032023,            0.035697,           0.0054298,             0.92114,             0.87666,             0.94403,             0.71754,            0.028179,            0.020598,           0.0029112,            0.003565,            0.003565,            0.003565
                  67,            0.033233,            0.040574,           0.0056366,             0.91591,             0.87641,             0.95029,             0.72614,             0.02801,            0.020567,           0.0029288,            0.003466,            0.003466,            0.003466
                  68,            0.033027,            0.037207,           0.0056549,             0.90541,             0.89982,              0.9519,             0.73268,            0.028095,            0.020405,           0.0029057,            0.003367,            0.003367,            0.003367
                  69,            0.032655,            0.041536,           0.0058037,             0.90451,             0.90345,             0.95258,             0.73326,            0.027259,            0.020345,           0.0028858,            0.003268,            0.003268,            0.003268
                  70,            0.033236,            0.045965,           0.0053311,             0.91328,             0.89884,             0.95331,             0.72777,             0.02696,            0.020256,           0.0028673,            0.003169,            0.003169,            0.003169
                  71,            0.031917,            0.039418,           0.0051776,             0.91315,              0.8873,             0.94695,             0.72924,            0.027263,            0.020179,           0.0028451,             0.00307,             0.00307,             0.00307
                  72,            0.033463,            0.039844,           0.0053876,             0.88101,             0.91411,              0.9528,             0.72962,            0.027275,            0.019999,           0.0028495,            0.002971,            0.002971,            0.002971
                  73,            0.031603,            0.039172,           0.0055204,             0.88098,             0.93362,             0.95521,             0.73218,            0.027237,             0.01982,           0.0028193,            0.002872,            0.002872,            0.002872
                  74,            0.032958,            0.038848,           0.0053253,             0.86949,             0.93808,             0.95617,             0.73992,            0.026762,            0.019596,           0.0027967,            0.002773,            0.002773,            0.002773
                  75,            0.033104,            0.041968,           0.0053631,             0.92002,             0.89158,             0.95686,             0.74286,            0.026591,            0.019487,           0.0027476,            0.002674,            0.002674,            0.002674
                  76,            0.032937,            0.034613,           0.0050034,             0.92276,             0.88871,             0.95193,             0.73337,            0.026877,            0.019579,           0.0027069,            0.002575,            0.002575,            0.002575
                  77,            0.031521,            0.035585,           0.0045519,             0.92367,             0.88818,             0.95317,             0.73942,            0.026216,            0.019416,           0.0026901,            0.002476,            0.002476,            0.002476
                  78,            0.030926,            0.037454,           0.0047968,             0.91514,             0.89472,             0.95255,             0.73695,            0.026521,            0.019417,           0.0026712,            0.002377,            0.002377,            0.002377
                  79,            0.032483,            0.038275,           0.0049489,             0.92133,             0.88564,             0.95352,             0.74655,            0.026028,            0.019303,           0.0026472,            0.002278,            0.002278,            0.002278
                  80,            0.029593,            0.032217,           0.0049845,             0.92808,             0.88634,             0.95292,               0.745,            0.026131,            0.019325,           0.0026435,            0.002179,            0.002179,            0.002179
                  81,            0.031807,             0.04013,           0.0049539,             0.88212,             0.93574,             0.95649,             0.75064,            0.025638,            0.019087,           0.0026061,             0.00208,             0.00208,             0.00208
                  82,            0.033472,            0.033908,           0.0054976,             0.87924,             0.93754,             0.95645,              0.7471,            0.026212,             0.01907,           0.0025686,            0.001981,            0.001981,            0.001981
                  83,            0.029633,            0.037411,           0.0044722,             0.87548,             0.92103,             0.95179,             0.75609,            0.025574,            0.018994,           0.0025429,            0.001882,            0.001882,            0.001882
                  84,             0.03135,            0.036366,           0.0047989,             0.91598,             0.89023,             0.95556,             0.75259,            0.025477,            0.018931,           0.0025122,            0.001783,            0.001783,            0.001783
                  85,            0.027962,            0.032478,           0.0050166,             0.91682,             0.88837,             0.94393,             0.75225,            0.025191,            0.018859,           0.0024738,            0.001684,            0.001684,            0.001684
                  86,            0.032008,            0.037217,           0.0053565,             0.88922,             0.92961,             0.95606,             0.75746,            0.025066,             0.01875,           0.0024394,            0.001585,            0.001585,            0.001585
                  87,             0.02923,              0.0341,           0.0046524,             0.88776,             0.92943,             0.95832,             0.75717,             0.02515,            0.018702,           0.0024138,            0.001486,            0.001486,            0.001486
                  88,            0.028982,            0.033407,           0.0045352,             0.88487,             0.92831,             0.95351,             0.76135,            0.025166,             0.01867,           0.0023937,            0.001387,            0.001387,            0.001387
                  89,            0.029681,             0.03438,           0.0048454,               0.886,             0.93251,             0.95611,             0.76471,            0.024836,            0.018558,           0.0023816,            0.001288,            0.001288,            0.001288
                  90,            0.029753,            0.035215,           0.0054217,              0.8858,             0.91823,             0.95688,             0.76784,            0.024536,             0.01843,           0.0023651,            0.001189,            0.001189,            0.001189
                  91,            0.030184,            0.037001,           0.0046479,             0.92122,             0.89189,             0.95666,              0.7691,            0.024349,            0.018343,           0.0023573,             0.00109,             0.00109,             0.00109
                  92,            0.028953,             0.03594,           0.0044806,             0.89257,             0.91692,             0.95847,             0.77002,            0.024301,            0.018258,           0.0023372,            0.000991,            0.000991,            0.000991
                  93,            0.029276,            0.038993,           0.0042385,             0.89681,             0.93685,             0.95972,             0.76929,             0.02418,            0.018195,            0.002329,            0.000892,            0.000892,            0.000892
                  94,            0.029599,            0.037062,           0.0051534,             0.89113,             0.93791,              0.9593,             0.77512,            0.023982,            0.018106,           0.0023194,            0.000793,            0.000793,            0.000793
                  95,            0.027581,            0.034195,           0.0041901,             0.89046,             0.93633,              0.9594,             0.77324,            0.023913,            0.018037,           0.0023041,            0.000694,            0.000694,            0.000694
                  96,             0.02847,            0.034628,           0.0044146,             0.89299,             0.92307,             0.96144,             0.77468,            0.023881,            0.017982,           0.0022956,            0.000595,            0.000595,            0.000595
                  97,            0.030088,            0.038359,           0.0048117,             0.89258,             0.92564,             0.96193,             0.77499,            0.023898,             0.01795,           0.0022895,            0.000496,            0.000496,            0.000496
                  98,            0.027795,            0.035837,           0.0048847,              0.8946,             0.92516,             0.96177,             0.78021,            0.023695,            0.017866,           0.0022836,            0.000397,            0.000397,            0.000397
                  99,            0.030482,            0.038626,           0.0045724,              0.8932,             0.92575,             0.96258,             0.78041,              0.0236,            0.017826,           0.0022775,            0.000298,            0.000298,            0.000298
